Quotes
Pahado Ki Fitrat Ka Insan Hoon Main.Kaha Tak Rakhoge Jhukane Ki Khwahish!
Jalanewale Jalate Hi Hain Charagh Aakhir.Yeh Kya Kaha Ki Hawa Tez Hai Zamane Ki.
Waqif Kaha Zamana Humari Udan Se.Woh Aur The Jo Har Gaye Aasman Se.
Humko Jitna Man Chahega Utna Udenge.Hum Kaun Bhala Roke Aur Kisme Dam Hai?
Humko Jitna Man Chahega Utna Udenge.Hum Kaun Bhala Roke Aur Kisme Dam Hai?
Mushkil Sabhi Ko Hoti Hain Do-Char Din.Aakhir Me Kat Hi Jate Hain Bekar Din.
Hum Us Nasl Ke Parinde Nahi Hain.Jo Kahe Aasman Ki Uchai Bahut Hai.
Jitni Jaldi Aankhein Apni Kholega.Suraj Ko Mutthi Pe Apni Tolega.
Ganga To Ganga Hai Bahti Rehti Hai.Lekin Keechad Ek Jagah Jam Jata Hai.
Hausle Bhi Kisi Hakeem Se Kam Nahi Hote.Har Takleef Me Taqat Ki Dawa Dete Hain.
Manzilein Kya Hai. Rasta Kya Hai?Hausla Ho To Fasla Kya Hai!
Lakeerein Apne Hatho’n Ki Banana Humko Aata Hai.Woh Koi Aur Honge Apni Kismat Pe Jo Rote Hain.
Udasiyo’n Ki Wajah To Bahut Hain Zindagi Me.Bewajah Khush Rehne Ka Maza Hi Kuch Aur Hai.
Khudko Yoon Khokar Zindagi Ko Mayoos Na Kar.Manzilein Charo’n Taraf Hain Rasto’n Ki Talash Kar.
Chain Se Rahne Ka Humko Mashwara Mat Dijiye.Ab Maza Dene Lagi Hain Zindagi Ki Mushkilein.
Jinke Hoto’n Pe Hasi Panv Me Chhale Honge.Woh Hi Log Apni Manzil Ko Pane Wale Honge.
Mere Hatho’n Ki Lakeero’n Ke Izafe Hain Gawah.Maine Patthar Ki Tarah Khud Ko Tarasha Hai Bahut.
ḳhudī ko kar buland itnā ki har taqdīr se pahle.ḳhudā bande se ḳhud pūchhe batā terī razā kyā hai
sitāroñ se aage jahāñ aur bhī haiñ.abhī ishq ke imtihāñ aur bhī haiñ
maiñ akelā hī chalā thā jānib-e-manzil magar.log saath aate ga.e aur kārvāñ bantā gayā
